event_id,label,source,source_class,source_weight,date,year,day_of_year,is_spring_or_fall,season_shoulder,latitude,longitude,acres,frp,confidence,firms_cluster_size,control_strategy
firms_viirs_snpp_sp_00000074_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-10,2012,70,1,0.479652,42.08488,-96.306425,,7.11,,2,
firms_viirs_snpp_sp_00000076_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-11,2012,71,1,0.503319,41.953472,-95.954982,,4.15,,13,
firms_viirs_snpp_sp_00000089_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-11,2012,71,1,0.503319,41.96544,-95.95952,,2.7,,1,
firms_viirs_snpp_sp_00000090_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-11,2012,71,1,0.503319,42.156265,-95.85102,,0.93,,2,
firms_viirs_snpp_sp_00000092_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-12,2012,72,1,0.527292,42.29488,-96.51984,,8.49,,2,
firms_viirs_snpp_sp_00000093_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-13,2012,73,1,0.551506,41.822387,-96.1049,,2.51,,3,
firms_viirs_snpp_sp_00000094_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-13,2012,73,1,0.551506,42.1559,-95.85175,,1.64,,1,
firms_viirs_snpp_sp_00000096_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-13,2012,73,1,0.551506,41.93494,-96.25669,,2.14,,1,
firms_viirs_snpp_sp_00000097_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-13,2012,73,1,0.551506,42.2934,-95.3075,,3.82,,1,
firms_viirs_snpp_sp_00000098_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-13,2012,73,1,0.551506,42.28099,-96.47379,,3.09,,1,
firms_viirs_snpp_sp_00000099_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-13,2012,73,1,0.551506,42.492,-94.95657,,2.01,,1,
firms_viirs_snpp_sp_00000100_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-13,2012,73,1,0.551506,43.38818,-97.59647,,9.78,,1,
firms_viirs_snpp_sp_00000102_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-14,2012,74,1,0.575891,42.085158,-97.362392,,1.69,,4,
firms_viirs_snpp_sp_00000105_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-14,2012,74,1,0.575891,41.83889,-95.89404,,2.99,,1,
firms_viirs_snpp_sp_00000106_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-14,2012,74,1,0.575891,41.97946,-96.92312,,2.01,,1,
firms_viirs_snpp_sp_00000107_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-14,2012,74,1,0.575891,42.10553,-95.42334,,5.68,,1,
firms_viirs_snpp_sp_00000108_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-14,2012,74,1,0.575891,42.12683,-95.60651,,2.5,,1,
firms_viirs_snpp_sp_00000109_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-14,2012,74,1,0.575891,42.170475,-95.954115,,2.63,,2,
firms_viirs_snpp_sp_00000111_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-14,2012,74,1,0.575891,42.17858,-96.8128,,1.98,,1,
firms_viirs_snpp_sp_00000112_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-14,2012,74,1,0.575891,42.21138,-96.11481,,2.3,,1,
firms_viirs_snpp_sp_00000113_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-14,2012,74,1,0.575891,42.515905,-96.550715,,4.13,,2,
firms_viirs_snpp_sp_00000115_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-14,2012,74,1,0.575891,42.63155,-96.17357,,2.19,,1,
firms_viirs_snpp_sp_00000116_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-14,2012,74,1,0.575891,42.63398,-97.04835,,5.07,,2,
firms_viirs_snpp_sp_00000118_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-14,2012,74,1,0.575891,42.834755,-97.586835,,15.58,,2,
firms_viirs_snpp_sp_00000120_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-14,2012,74,1,0.575891,42.94693,-96.0799,,8.86,,1,
firms_viirs_snpp_sp_00000121_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-14,2012,74,1,0.575891,43.06918,-96.74332,,1.92,,1,
firms_viirs_snpp_sp_00000122_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-15,2012,75,1,0.600373,41.81434,-96.44222,,0.6,,1,
firms_viirs_snpp_sp_00000123_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-15,2012,75,1,0.600373,41.82749,-95.78049,,1.09,,1,
firms_viirs_snpp_sp_00000125_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-15,2012,75,1,0.600373,42.15564,-95.85246,,0.52,,1,
firms_viirs_snpp_sp_00000126_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-15,2012,75,1,0.600373,42.75805,-97.06065,,0.5,,1,
firms_viirs_snpp_sp_00000128_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-15,2012,75,1,0.600373,41.88309,-96.61814,,3.94,,1,
firms_viirs_snpp_sp_00000129_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-15,2012,75,1,0.600373,42.70869,-96.15732,,3.1,,1,
firms_viirs_snpp_sp_00000130_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-15,2012,75,1,0.600373,42.783233,-97.589313,,9.09,,3,
firms_viirs_snpp_sp_00000133_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-15,2012,75,1,0.600373,42.91553,-97.07549,,2.08,,1,
firms_viirs_snpp_sp_00000134_cluster,1,NASA FIRMS VIIRS_SNPP_SP,firms,0.7,2012-03-15,2012,75,1,0.600373,43.05881,-96.31046,,3.22,,1,
